model,precision,recall,f1,roc_auc,pr_auc
random_forest,0.8901098901098901,0.826530612244898,0.8571428571428571,0.9754173581362763,0.8721241233653418
xgboost,0.4941860465116279,0.8673469387755102,0.6296296296296297,0.9847389187807931,0.8464208363359433
logistic_regression,0.057803468208092484,0.9183673469387755,0.10876132930513595,0.9708434302252134,0.7244694356694709
